model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Linear,1.150879874674314,0.16714369046832317,0.9999999999999979
Linear,1.3836619418378735,0.16714369046832317,0.999999999999999
Linear,1.663527542205342,0.16714369046832317,1.0000000000000024
Linear,2.0,0.16714369046832317,0.9999999999999977
Michaelis-Menten,0.02,0.16714369046832317,1.0056510589799723
Michaelis-Menten,0.024045288692348264,0.16714369046832317,1.0067562371791534
Michaelis-Menten,0.02890879541491855,0.16714369046832317,1.0080669340842932
Michaelis-Menten,0.03475601657498751,0.16714369046832317,1.0096158399893684
Michaelis-Menten,0.0417859226170808,0.16714369046832317,1.0114376871274364
Michaelis-Menten,0.050237728630191596,0.16714369046832317,1.0135671920352276
Michaelis-Menten,0.06039903440804033,0.16714369046832317,1.0160351869925892
Michaelis-Menten,0.07261561095402029,0.16714369046832317,1.0188617736401195
Michaelis-Menten,0.08730316644803322,0.16714369046832317,1.0220446601538815
Michaelis-Menten,0.10496149204995453,0.16714369046832317,1.0255398576546033
Michaelis-Menten,0.1261914688960387,0.16714369046832317,1.0292305826989074
Michaelis-Menten,0.15171551500583677,0.16714369046832317,1.0328787425606658
Michaelis-Menten,0.18240216787118196,0.16714369046832317,1.0360527069685084
Michaelis-Menten,0.21929563922863704,0.16714369046832317,1.03802823749467
Michaelis-Menten,0.2636513477112815,0.16714369046832317,1.0376752999872416
Michaelis-Menten,0.3169786384922227,0.16714369046832317,1.0333963861650945
Michaelis-Menten,0.38109214359264953,0.16714369046832317,1.0233307640841882
Michaelis-Menten,0.45817353055355475,0.16714369046832317,1.0063494369311066
Michaelis-Menten,0.5508457406676333,0.16714369046832317,0.9844189631277567
Michaelis-Menten,0.6622622429651823,0.16714369046832317,0.964558462491122
Michaelis-Menten,0.7962143411069947,0.16714369046832317,0.9546856955443171
Michaelis-Menten,0.9572601846452766,0.16714369046832317,0.9558844229713681
Michaelis-Menten,1.150879874674314,0.16714369046832317,0.9632795816720946
Michaelis-Menten,1.3836619418378735,0.16714369046832317,0.9720600434181419
Michaelis-Menten,1.663527542205342,0.16714369046832317,0.9797974633836599
Michaelis-Menten,2.0,0.16714369046832317,0.985809182143438
Transporter-state,0.02,0.16714369046832317,0.9945862283249362
Transporter-state,0.024045288692348264,0.16714369046832317,0.9914641831989731
Transporter-state,0.02890879541491855,0.16714369046832317,0.9853053563920822
Transporter-state,0.03475601657498751,0.16714369046832317,0.9735807628332521
Transporter-state,0.0417859226170808,0.16714369046832317,0.9638470918833617
Transporter-state,0.050237728630191596,0.16714369046832317,0.9669019723662187
Transporter-state,0.06039903440804033,0.16714369046832317,0.97383174687874
Transporter-state,0.07261561095402029,0.16714369046832317,0.980146968604819
Transporter-state,0.08730316644803322,0.16714369046832317,0.985979397014065
Transporter-state,0.10496149204995453,0.16714369046832317,0.989992021600942
Transporter-state,0.1261914688960387,0.16714369046832317,0.9926015411657172
Transporter-state,0.15171551500583677,0.16714369046832317,0.994513745300982
Transporter-state,0.18240216787118196,0.16714369046832317,0.9960221056801188
Transporter-state,0.21929563922863704,0.16714369046832317,0.9972023441839571
Transporter-state,0.2636513477112815,0.16714369046832317,0.9980840605027446
Transporter-state,0.3169786384922227,0.16714369046832317,0.9987147459513185
Transporter-state,0.38109214359264953,0.16714369046832317,0.9991532532886233
Transporter-state,0.45817353055355475,0.16714369046832317,0.9994533796598057
Transporter-state,0.5508457406676333,0.16714369046832317,0.9996570960727682
Transporter-state,0.6622622429651823,0.16714369046832317,0.9997946726167514
Transporter-state,0.7962143411069947,0.16714369046832317,0.9998871329845301
Transporter-state,0.9572601846452766,0.16714369046832317,0.9999488481909111
Transporter-state,1.150879874674314,0.16714369046832317,0.9999895946257906
Transporter-state,1.3836619418378735,0.16714369046832317,1.0000160267645244
Transporter-state,1.663527542205342,0.16714369046832317,1.000032706729968
Transporter-state,2.0,0.16714369046832317,1.0000539019148316
Linear,0.02,0.2009509145207664,0.9999999999999994
Linear,0.024045288692348264,0.2009509145207664,1.0
Linear,0.02890879541491855,0.2009509145207664,1.0000000000000002
Linear,0.03475601657498751,0.2009509145207664,1.0000000000000056
Linear,0.0417859226170808,0.2009509145207664,0.9999999999999977
Linear,0.050237728630191596,0.2009509145207664,1.000000000000002
Linear,0.06039903440804033,0.2009509145207664,1.0
Linear,0.07261561095402029,0.2009509145207664,1.0000000000000013
Linear,0.08730316644803322,0.2009509145207664,1.0000000000000024
Linear,0.10496149204995453,0.2009509145207664,1.0000000000000053
Linear,0.1261914688960387,0.2009509145207664,0.9999999999999998
Linear,0.15171551500583677,0.2009509145207664,0.9999999999999971
Linear,0.18240216787118196,0.2009509145207664,1.000000000000003
Linear,0.21929563922863704,0.2009509145207664,0.9999999999999969
Linear,0.2636513477112815,0.2009509145207664,1.000000000000001
Linear,0.3169786384922227,0.2009509145207664,0.9999999999999991
Linear,0.38109214359264953,0.2009509145207664,0.9999999999999964
Linear,0.45817353055355475,0.2009509145207664,0.9999999999999991
Linear,0.5508457406676333,0.2009509145207664,1.000000000000003
Linear,0.6622622429651823,0.2009509145207664,0.9999999999999993
Linear,0.7962143411069947,0.2009509145207664,0.9999999999999966
Linear,0.9572601846452766,0.2009509145207664,0.9999999999999996
Linear,1.150879874674314,0.2009509145207664,0.9999999999999971
Linear,1.3836619418378735,0.2009509145207664,1.000000000000002
Linear,1.663527542205342,0.2009509145207664,1.0000000000000024
Linear,2.0,0.2009509145207664,1.0000000000000013
Michaelis-Menten,0.02,0.2009509145207664,1.0061588469983713
Michaelis-Menten,0.024045288692348264,0.2009509145207664,1.0073858199025645
Michaelis-Menten,0.02890879541491855,0.2009509145207664,1.008851683545707
Michaelis-Menten,0.03475601657498751,0.2009509145207664,1.0105999265731458
Michaelis-Menten,0.0417859226170808,0.2009509145207664,1.012680162865593
Michaelis-Menten,0.050237728630191596,0.2009509145207664,1.0151477937664743
Michaelis-Menten,0.06039903440804033,0.2009509145207664,1.018062614151328
Michaelis-Menten,0.07261561095402029,0.2009509145207664,1.0214855042125368
Michaelis-Menten,0.08730316644803322,0.2009509145207664,1.0254717533221316
Michaelis-Menten,0.10496149204995453,0.2009509145207664,1.0300585898513959
